date,name,value,source
1973-01-31,Benchmark EAFE Indexes,0.007276261,Faber / BBG
1973-02-28,Benchmark EAFE Indexes,0.005503391,Faber / BBG
1973-03-30,Benchmark EAFE Indexes,-0.000717487,Faber / BBG
1973-04-30,Benchmark EAFE Indexes,-0.012684328,Faber / BBG
1973-05-31,Benchmark EAFE Indexes,0.033453464,Faber / BBG
1973-06-29,Benchmark EAFE Indexes,0.002650622,Faber / BBG
1973-07-31,Benchmark EAFE Indexes,0.067414615,Faber / BBG
1973-08-31,Benchmark EAFE Indexes,-0.015752534,Faber / BBG
1973-09-28,Benchmark EAFE Indexes,0.008206582,Faber / BBG
1973-10-31,Benchmark EAFE Indexes,-0.005369734,Faber / BBG
1973-11-30,Benchmark EAFE Indexes,-0.054657514,Faber / BBG
1973-12-31,Benchmark EAFE Indexes,0.013366337,Faber / BBG
1974-01-31,Benchmark EAFE Indexes,0.028309311,Faber / BBG
1974-02-28,Benchmark EAFE Indexes,0.015343089,Faber / BBG
1974-03-29,Benchmark EAFE Indexes,-0.045202668,Faber / BBG
1974-04-30,Benchmark EAFE Indexes,-0.026933726,Faber / BBG
1974-05-31,Benchmark EAFE Indexes,-0.035256311,Faber / BBG
1974-06-28,Benchmark EAFE Indexes,-0.004756096,Faber / BBG
1974-07-31,Benchmark EAFE Indexes,0.023596074,Faber / BBG
1974-08-30,Benchmark EAFE Indexes,-0.078373551,Faber / BBG
1974-09-30,Benchmark EAFE Indexes,0.009210737,Faber / BBG
1974-10-31,Benchmark EAFE Indexes,0.071830453,Faber / BBG
1974-11-29,Benchmark EAFE Indexes,-0.008910487,Faber / BBG
1974-12-31,Benchmark EAFE Indexes,-0.038044078,Faber / BBG
1975-01-31,Benchmark EAFE Indexes,0.091101171,Faber / BBG
1975-02-28,Benchmark EAFE Indexes,0.016521633,Faber / BBG
1975-03-31,Benchmark EAFE Indexes,0.028968653,Faber / BBG
1975-04-30,Benchmark EAFE Indexes,0.000202721,Faber / BBG
1975-05-30,Benchmark EAFE Indexes,0.018914884,Faber / BBG
1975-06-30,Benchmark EAFE Indexes,0.020781286,Faber / BBG
1975-07-31,Benchmark EAFE Indexes,-0.015125004,Faber / BBG
1975-08-29,Benchmark EAFE Indexes,0.007044963,Faber / BBG
1975-09-30,Benchmark EAFE Indexes,-0.034692898,Faber / BBG
1975-10-31,Benchmark EAFE Indexes,0.024656602,Faber / BBG
1975-11-28,Benchmark EAFE Indexes,0.011532291,Faber / BBG
1975-12-31,Benchmark EAFE Indexes,0.017480495,Faber / BBG
1976-01-30,Benchmark EAFE Indexes,0.055318679,Faber / BBG
1976-02-27,Benchmark EAFE Indexes,0.017091071,Faber / BBG
1976-03-31,Benchmark EAFE Indexes,0.004908686,Faber / BBG
1976-04-30,Benchmark EAFE Indexes,0.007405385,Faber / BBG
1976-05-31,Benchmark EAFE Indexes,-0.010793366,Faber / BBG
1976-06-30,Benchmark EAFE Indexes,0.014721969,Faber / BBG
1976-07-30,Benchmark EAFE Indexes,-0.012188215,Faber / BBG
1976-08-31,Benchmark EAFE Indexes,0.005433515,Faber / BBG
1976-09-30,Benchmark EAFE Indexes,-0.003988718,Faber / BBG
1976-10-29,Benchmark EAFE Indexes,-0.01160378,Faber / BBG
1976-11-30,Benchmark EAFE Indexes,0.02145465,Faber / BBG
1976-12-31,Benchmark EAFE Indexes,0.065660402,Faber / BBG
1977-01-31,Benchmark EAFE Indexes,-0.014555934,Faber / BBG
1977-02-28,Benchmark EAFE Indexes,-2.95E-05,Faber / BBG
1977-03-31,Benchmark EAFE Indexes,0.008520067,Faber / BBG
1977-04-29,Benchmark EAFE Indexes,0.025927104,Faber / BBG
1977-05-31,Benchmark EAFE Indexes,-0.011838447,Faber / BBG
1977-06-30,Benchmark EAFE Indexes,0.022900316,Faber / BBG
1977-07-29,Benchmark EAFE Indexes,-0.017620351,Faber / BBG
1977-08-31,Benchmark EAFE Indexes,0.014140077,Faber / BBG
1977-09-30,Benchmark EAFE Indexes,0.009379809,Faber / BBG
1977-10-31,Benchmark EAFE Indexes,-8.82E-05,Faber / BBG
1977-11-30,Benchmark EAFE Indexes,0.028413739,Faber / BBG
1977-12-30,Benchmark EAFE Indexes,0.018218763,Faber / BBG
1978-01-31,Benchmark EAFE Indexes,-0.009638108,Faber / BBG
1978-02-28,Benchmark EAFE Indexes,0.003971156,Faber / BBG
1978-03-31,Benchmark EAFE Indexes,0.049893171,Faber / BBG
1978-04-28,Benchmark EAFE Indexes,0.020850578,Faber / BBG
1978-05-31,Benchmark EAFE Indexes,0.018744567,Faber / BBG
1978-06-30,Benchmark EAFE Indexes,-0.016723445,Faber / BBG
1978-07-31,Benchmark EAFE Indexes,0.043200856,Faber / BBG
1978-08-31,Benchmark EAFE Indexes,0.027618889,Faber / BBG
1978-09-29,Benchmark EAFE Indexes,0.019933978,Faber / BBG
1978-10-31,Benchmark EAFE Indexes,-0.024131623,Faber / BBG
1978-11-30,Benchmark EAFE Indexes,-0.009633093,Faber / BBG
1978-12-29,Benchmark EAFE Indexes,0.011305288,Faber / BBG
1979-01-31,Benchmark EAFE Indexes,0.044162894,Faber / BBG
1979-02-28,Benchmark EAFE Indexes,0.002815037,Faber / BBG
1979-03-30,Benchmark EAFE Indexes,0.030763174,Faber / BBG
1979-04-30,Benchmark EAFE Indexes,0.014678995,Faber / BBG
1979-05-31,Benchmark EAFE Indexes,-0.013455162,Faber / BBG
1979-06-29,Benchmark EAFE Indexes,0.036186024,Faber / BBG
1979-07-31,Benchmark EAFE Indexes,0.001082448,Faber / BBG
1979-08-31,Benchmark EAFE Indexes,0.060527346,Faber / BBG
1979-09-28,Benchmark EAFE Indexes,0.009804954,Faber / BBG
1979-10-31,Benchmark EAFE Indexes,-0.072404087,Faber / BBG
1979-11-30,Benchmark EAFE Indexes,0.04403664,Faber / BBG
1979-12-31,Benchmark EAFE Indexes,0.017698865,Faber / BBG
1980-01-31,Benchmark EAFE Indexes,0.040367266,Faber / BBG
1980-02-29,Benchmark EAFE Indexes,-0.01963746,Faber / BBG
1980-03-31,Benchmark EAFE Indexes,-0.095755058,Faber / BBG
1980-04-30,Benchmark EAFE Indexes,0.077465797,Faber / BBG
1980-05-30,Benchmark EAFE Indexes,0.055005367,Faber / BBG
1980-06-30,Benchmark EAFE Indexes,0.045550195,Faber / BBG
1980-07-31,Benchmark EAFE Indexes,0.032236872,Faber / BBG
1980-08-29,Benchmark EAFE Indexes,0.009980583,Faber / BBG
1980-09-30,Benchmark EAFE Indexes,0.018872472,Faber / BBG
1980-10-31,Benchmark EAFE Indexes,0.032062321,Faber / BBG
1980-11-28,Benchmark EAFE Indexes,0.011807485,Faber / BBG
1980-12-31,Benchmark EAFE Indexes,-0.020882274,Faber / BBG
