date,name,value,source
1988-01-29,Benchmark EEM Indexes,0.059071359,Faber / BBG
1988-02-29,Benchmark EEM Indexes,0.015358271,Faber / BBG
1988-03-31,Benchmark EEM Indexes,0.021809537,Faber / BBG
1988-04-29,Benchmark EEM Indexes,0.019314136,Faber / BBG
1988-05-31,Benchmark EEM Indexes,0.010714194,Faber / BBG
1988-06-30,Benchmark EEM Indexes,0.02202641,Faber / BBG
1988-07-29,Benchmark EEM Indexes,-0.005301464,Faber / BBG
1988-08-31,Benchmark EEM Indexes,-0.015406156,Faber / BBG
1988-09-30,Benchmark EEM Indexes,0.023011517,Faber / BBG
1988-10-31,Benchmark EEM Indexes,0.015470802,Faber / BBG
1988-11-30,Benchmark EEM Indexes,0.000625222,Faber / BBG
1988-12-30,Benchmark EEM Indexes,0.025094315,Faber / BBG
1989-01-31,Benchmark EEM Indexes,0.017163721,Faber / BBG
1989-02-28,Benchmark EEM Indexes,0.012287178,Faber / BBG
1989-03-31,Benchmark EEM Indexes,0.040905664,Faber / BBG
1989-04-28,Benchmark EEM Indexes,0.066335637,Faber / BBG
1989-05-31,Benchmark EEM Indexes,0.01943774,Faber / BBG
1989-06-30,Benchmark EEM Indexes,-0.014457196,Faber / BBG
1989-07-31,Benchmark EEM Indexes,0.036138123,Faber / BBG
1989-08-31,Benchmark EEM Indexes,0.011881101,Faber / BBG
1989-09-29,Benchmark EEM Indexes,0.037695714,Faber / BBG
1989-10-31,Benchmark EEM Indexes,-0.003619365,Faber / BBG
1989-11-30,Benchmark EEM Indexes,-0.004049405,Faber / BBG
1989-12-29,Benchmark EEM Indexes,0.05085166,Faber / BBG
1990-01-31,Benchmark EEM Indexes,-0.01736578,Faber / BBG
1990-02-28,Benchmark EEM Indexes,0.003467086,Faber / BBG
1990-03-30,Benchmark EEM Indexes,-0.022943146,Faber / BBG
1990-04-30,Benchmark EEM Indexes,3.90E-05,Faber / BBG
1990-05-31,Benchmark EEM Indexes,0.041966485,Faber / BBG
1990-06-29,Benchmark EEM Indexes,0.008064959,Faber / BBG
1990-07-31,Benchmark EEM Indexes,0.033616576,Faber / BBG
1990-08-31,Benchmark EEM Indexes,-0.029760427,Faber / BBG
1990-09-28,Benchmark EEM Indexes,0.009669177,Faber / BBG
1990-10-31,Benchmark EEM Indexes,-0.023508654,Faber / BBG
1990-11-30,Benchmark EEM Indexes,0.000340403,Faber / BBG
1990-12-31,Benchmark EEM Indexes,0.011423791,Faber / BBG
1991-01-31,Benchmark EEM Indexes,0.025784406,Faber / BBG
1991-02-28,Benchmark EEM Indexes,0.059982865,Faber / BBG
1991-03-29,Benchmark EEM Indexes,0.037602162,Faber / BBG
1991-04-30,Benchmark EEM Indexes,0.013540893,Faber / BBG
1991-05-31,Benchmark EEM Indexes,0.032516886,Faber / BBG
1991-06-28,Benchmark EEM Indexes,-0.028344928,Faber / BBG
1991-07-31,Benchmark EEM Indexes,0.036089258,Faber / BBG
1991-08-30,Benchmark EEM Indexes,0.018377465,Faber / BBG
1991-09-30,Benchmark EEM Indexes,-0.001700783,Faber / BBG
1991-10-31,Benchmark EEM Indexes,0.016934514,Faber / BBG
1991-11-29,Benchmark EEM Indexes,-0.016121949,Faber / BBG
1991-12-31,Benchmark EEM Indexes,0.05749675,Faber / BBG
1992-01-31,Benchmark EEM Indexes,0.027701197,Faber / BBG
1992-02-28,Benchmark EEM Indexes,0.00680761,Faber / BBG
1992-03-31,Benchmark EEM Indexes,0.000834227,Faber / BBG
1992-04-30,Benchmark EEM Indexes,0.010610878,Faber / BBG
1992-05-29,Benchmark EEM Indexes,0.016551968,Faber / BBG
1992-06-30,Benchmark EEM Indexes,-0.02486269,Faber / BBG
1992-07-31,Benchmark EEM Indexes,0.02104983,Faber / BBG
1992-08-31,Benchmark EEM Indexes,-0.012571258,Faber / BBG
1992-09-30,Benchmark EEM Indexes,0.01497671,Faber / BBG
1992-10-30,Benchmark EEM Indexes,0.000856192,Faber / BBG
1992-11-30,Benchmark EEM Indexes,0.004786164,Faber / BBG
1992-12-31,Benchmark EEM Indexes,0.017626321,Faber / BBG
1993-01-29,Benchmark EEM Indexes,0.023463728,Faber / BBG
1993-02-26,Benchmark EEM Indexes,0.024490315,Faber / BBG
1993-03-31,Benchmark EEM Indexes,0.030471588,Faber / BBG
1993-04-30,Benchmark EEM Indexes,-0.011241314,Faber / BBG
1993-05-31,Benchmark EEM Indexes,0.00211461,Faber / BBG
1993-06-30,Benchmark EEM Indexes,0.013493552,Faber / BBG
1993-07-30,Benchmark EEM Indexes,0.007408466,Faber / BBG
1993-08-31,Benchmark EEM Indexes,0.038922876,Faber / BBG
1993-09-30,Benchmark EEM Indexes,0.018554999,Faber / BBG
1993-10-29,Benchmark EEM Indexes,0.01591879,Faber / BBG
1993-11-30,Benchmark EEM Indexes,-0.013935289,Faber / BBG
1993-12-31,Benchmark EEM Indexes,0.043143434,Faber / BBG
1994-01-31,Benchmark EEM Indexes,0.03562805,Faber / BBG
1994-02-28,Benchmark EEM Indexes,-0.012196363,Faber / BBG
1994-03-31,Benchmark EEM Indexes,-0.044545797,Faber / BBG
1994-04-29,Benchmark EEM Indexes,0.004880468,Faber / BBG
1994-05-31,Benchmark EEM Indexes,0.016702757,Faber / BBG
1994-06-30,Benchmark EEM Indexes,-0.010277683,Faber / BBG
1994-07-29,Benchmark EEM Indexes,0.025128911,Faber / BBG
1994-08-31,Benchmark EEM Indexes,0.017741455,Faber / BBG
1994-09-30,Benchmark EEM Indexes,-0.012877085,Faber / BBG
1994-10-31,Benchmark EEM Indexes,-0.007069202,Faber / BBG
1994-11-30,Benchmark EEM Indexes,-0.031527562,Faber / BBG
1994-12-30,Benchmark EEM Indexes,0.007700788,Faber / BBG
1995-01-31,Benchmark EEM Indexes,-0.019317187,Faber / BBG
1995-02-28,Benchmark EEM Indexes,0.018481183,Faber / BBG
1995-03-31,Benchmark EEM Indexes,0.010558242,Faber / BBG
1995-04-28,Benchmark EEM Indexes,0.023840105,Faber / BBG
1995-05-31,Benchmark EEM Indexes,0.038591111,Faber / BBG
1995-06-30,Benchmark EEM Indexes,0.008284329,Faber / BBG
1995-07-31,Benchmark EEM Indexes,0.016660729,Faber / BBG
1995-08-31,Benchmark EEM Indexes,0.007114061,Faber / BBG
1995-09-29,Benchmark EEM Indexes,0.015938981,Faber / BBG
1995-10-31,Benchmark EEM Indexes,-0.005853053,Faber / BBG
1995-11-30,Benchmark EEM Indexes,0.019846941,Faber / BBG
1995-12-29,Benchmark EEM Indexes,0.045967557,Faber / BBG
1996-01-31,Benchmark EEM Indexes,0.025251254,Faber / BBG
1996-02-29,Benchmark EEM Indexes,0.001166316,Faber / BBG
1996-03-29,Benchmark EEM Indexes,0.014464677,Faber / BBG
1996-04-30,Benchmark EEM Indexes,0.020812895,Faber / BBG
1996-05-31,Benchmark EEM Indexes,0.006439614,Faber / BBG
1996-06-28,Benchmark EEM Indexes,0.015680462,Faber / BBG
1996-07-31,Benchmark EEM Indexes,-0.03147991,Faber / BBG
1996-08-30,Benchmark EEM Indexes,0.023591544,Faber / BBG
1996-09-30,Benchmark EEM Indexes,0.02841811,Faber / BBG
1996-10-31,Benchmark EEM Indexes,0.012143171,Faber / BBG
1996-11-29,Benchmark EEM Indexes,0.051632412,Faber / BBG
1996-12-31,Benchmark EEM Indexes,0.015882393,Faber / BBG
1997-01-31,Benchmark EEM Indexes,0.025160612,Faber / BBG
1997-02-28,Benchmark EEM Indexes,-0.001970831,Faber / BBG
1997-03-31,Benchmark EEM Indexes,-0.017063531,Faber / BBG
1997-04-30,Benchmark EEM Indexes,0.016323446,Faber / BBG
1997-05-30,Benchmark EEM Indexes,0.028381141,Faber / BBG
1997-06-30,Benchmark EEM Indexes,0.023856887,Faber / BBG
1997-07-31,Benchmark EEM Indexes,0.042049509,Faber / BBG
1997-08-29,Benchmark EEM Indexes,-0.039743766,Faber / BBG
1997-09-30,Benchmark EEM Indexes,0.042850744,Faber / BBG
1997-10-31,Benchmark EEM Indexes,-0.034393967,Faber / BBG
1997-11-28,Benchmark EEM Indexes,-0.009691413,Faber / BBG
1997-12-31,Benchmark EEM Indexes,0.003555946,Faber / BBG
1998-01-30,Benchmark EEM Indexes,-0.013305951,Faber / BBG
1998-02-27,Benchmark EEM Indexes,0.017191187,Faber / BBG
1998-03-31,Benchmark EEM Indexes,0.022355833,Faber / BBG
1998-04-30,Benchmark EEM Indexes,-0.010291167,Faber / BBG
1998-05-29,Benchmark EEM Indexes,-0.039314024,Faber / BBG
1998-06-30,Benchmark EEM Indexes,-0.014465617,Faber / BBG
1998-07-31,Benchmark EEM Indexes,-0.023462893,Faber / BBG
1998-08-31,Benchmark EEM Indexes,-0.107478169,Faber / BBG
1998-09-30,Benchmark EEM Indexes,0.067580448,Faber / BBG
1998-10-30,Benchmark EEM Indexes,0.017693081,Faber / BBG
1998-11-30,Benchmark EEM Indexes,0.010445405,Faber / BBG
1998-12-31,Benchmark EEM Indexes,0.007718946,Faber / BBG
1999-01-29,Benchmark EEM Indexes,0.002650658,Faber / BBG
