"date","name","value","source"
1988-01-29,"EM Total Return Index",0.0983799999999999,"Bloomberg"
1988-02-29,"EM Total Return Index",0.00339591034068354,"Bloomberg"
1988-03-31,"EM Total Return Index",0.107384925279691,"Bloomberg"
1988-04-29,"EM Total Return Index",0.05338151188896,"Bloomberg"
1988-05-31,"EM Total Return Index",0.0299624302860122,"Bloomberg"
1988-06-30,"EM Total Return Index",0.0339770264248977,"Bloomberg"
1988-07-29,"EM Total Return Index",-0.0254250905691247,"Bloomberg"
1988-08-31,"EM Total Return Index",-0.026785379709363,"Bloomberg"
1988-09-30,"EM Total Return Index",0.0648020514874053,"Bloomberg"
1988-10-31,"EM Total Return Index",-0.00645828511918534,"Bloomberg"
1988-11-30,"EM Total Return Index",-0.00427285101798669,"Bloomberg"
1988-12-30,"EM Total Return Index",0.0265731914147025,"Bloomberg"
1989-01-31,"EM Total Return Index",-0.0126044136811295,"Bloomberg"
1989-02-28,"EM Total Return Index",0.0765053333044849,"Bloomberg"
1989-03-31,"EM Total Return Index",0.0996348775667437,"Bloomberg"
1989-04-28,"EM Total Return Index",0.189792673193734,"Bloomberg"
1989-05-31,"EM Total Return Index",0.0134774616081808,"Bloomberg"
1989-06-30,"EM Total Return Index",-0.121336290742266,"Bloomberg"
1989-07-31,"EM Total Return Index",0.0657769139650155,"Bloomberg"
1989-08-31,"EM Total Return Index",0.0232107691062613,"Bloomberg"
1989-09-29,"EM Total Return Index",0.12603943115367,"Bloomberg"
1989-10-31,"EM Total Return Index",0.0140060875673145,"Bloomberg"
1989-11-30,"EM Total Return Index",-0.0466101107873336,"Bloomberg"
1989-12-29,"EM Total Return Index",0.122074323800667,"Bloomberg"
1990-01-31,"EM Total Return Index",0.0329030865529893,"Bloomberg"
1990-02-28,"EM Total Return Index",0.0392189641913805,"Bloomberg"
1990-03-30,"EM Total Return Index",-0.135295347789718,"Bloomberg"
1990-04-30,"EM Total Return Index",0.0721394885914406,"Bloomberg"
1990-05-31,"EM Total Return Index",0.0821385966814878,"Bloomberg"
1990-06-29,"EM Total Return Index",0.034554638018119,"Bloomberg"
1990-07-31,"EM Total Return Index",0.0881742095474272,"Bloomberg"
1990-08-31,"EM Total Return Index",-0.127579797461864,"Bloomberg"
1990-09-28,"EM Total Return Index",-0.127694310774794,"Bloomberg"
1990-10-31,"EM Total Return Index",-0.0185662616214598,"Bloomberg"
1990-11-30,"EM Total Return Index",-0.0521851892463994,"Bloomberg"
1990-12-31,"EM Total Return Index",0.0422620933870539,"Bloomberg"
1991-01-31,"EM Total Return Index",0.0808459092027856,"Bloomberg"
1991-02-28,"EM Total Return Index",0.147940936145132,"Bloomberg"
1991-03-29,"EM Total Return Index",0.0410978085836311,"Bloomberg"
1991-04-30,"EM Total Return Index",0.0105320182320854,"Bloomberg"
1991-05-31,"EM Total Return Index",0.0784608047205144,"Bloomberg"
1991-06-28,"EM Total Return Index",-0.0357215093537562,"Bloomberg"
1991-07-31,"EM Total Return Index",0.051844952200824,"Bloomberg"
1991-08-30,"EM Total Return Index",0.0210704918476057,"Bloomberg"
1991-09-30,"EM Total Return Index",-0.0383319320220592,"Bloomberg"
1991-10-31,"EM Total Return Index",0.040806421633083,"Bloomberg"
1991-11-29,"EM Total Return Index",-0.0148591309409239,"Bloomberg"
1991-12-31,"EM Total Return Index",0.112357325097355,"Bloomberg"
1992-01-31,"EM Total Return Index",0.115766155926229,"Bloomberg"
1992-02-28,"EM Total Return Index",0.0444269531630366,"Bloomberg"
1992-03-31,"EM Total Return Index",0.0338354919159978,"Bloomberg"
1992-04-30,"EM Total Return Index",-0.00694642758731245,"Bloomberg"
1992-05-29,"EM Total Return Index",-0.00358705934287706,"Bloomberg"
1992-06-30,"EM Total Return Index",-0.0991992465880005,"Bloomberg"
1992-07-31,"EM Total Return Index",0.0108735059117135,"Bloomberg"
1992-08-31,"EM Total Return Index",-0.0466265207624386,"Bloomberg"
1992-09-30,"EM Total Return Index",0.00343231744124672,"Bloomberg"
1992-10-30,"EM Total Return Index",0.0534882909902528,"Bloomberg"
1992-11-30,"EM Total Return Index",-0.010772443510189,"Bloomberg"
1992-12-31,"EM Total Return Index",0.029395360770119,"Bloomberg"
1993-01-29,"EM Total Return Index",0.00483562924133452,"Bloomberg"
1993-02-26,"EM Total Return Index",0.0167691146338833,"Bloomberg"
1993-03-31,"EM Total Return Index",0.0330699474996023,"Bloomberg"
1993-04-30,"EM Total Return Index",0.0229972382780816,"Bloomberg"
1993-05-31,"EM Total Return Index",0.0278619672229861,"Bloomberg"
1993-06-30,"EM Total Return Index",0.0296526287782815,"Bloomberg"
1993-07-30,"EM Total Return Index",0.0264137971907781,"Bloomberg"
1993-08-31,"EM Total Return Index",0.0844383059216984,"Bloomberg"
1993-09-30,"EM Total Return Index",0.0365751843348399,"Bloomberg"
1993-10-29,"EM Total Return Index",0.0897228060875406,"Bloomberg"
1993-11-30,"EM Total Return Index",0.0442523761847928,"Bloomberg"
1993-12-31,"EM Total Return Index",0.165295926418784,"Bloomberg"
1994-01-31,"EM Total Return Index",0.0181938194935107,"Bloomberg"
1994-02-28,"EM Total Return Index",-0.0177895867763563,"Bloomberg"
1994-03-31,"EM Total Return Index",-0.090489219690256,"Bloomberg"
