"date","name","value","source"
2014-01-31,"PIMCO MF",0.00303490136570561,"Bloomberg"
2014-02-28,"PIMCO MF",0.0136157337367624,"Bloomberg"
2014-03-31,"PIMCO MF",-0.0014925373134328,"Bloomberg"
2014-04-30,"PIMCO MF",0.0194319880418534,"Bloomberg"
2014-05-30,"PIMCO MF",0.0293255131964809,"Bloomberg"
2014-06-30,"PIMCO MF",0.0113960113960114,"Bloomberg"
2014-07-31,"PIMCO MF",0.00704225352112675,"Bloomberg"
2014-08-29,"PIMCO MF",0.0419580419580419,"Bloomberg"
2014-09-30,"PIMCO MF",0.0187919463087247,"Bloomberg"
2014-10-31,"PIMCO MF",-0.0105401844532279,"Bloomberg"
2014-11-28,"PIMCO MF",0.047936085219707,"Bloomberg"
2014-12-31,"PIMCO MF",0.00889453621346892,"Bloomberg"
2015-01-30,"PIMCO MF",0.0340050377833754,"Bloomberg"
2015-02-27,"PIMCO MF",-0.00974421437271622,"Bloomberg"
2015-03-31,"PIMCO MF",0,"Bloomberg"
2015-04-30,"PIMCO MF",-0.0307503075030752,"Bloomberg"
2015-05-29,"PIMCO MF",-0.0406091370558376,"Bloomberg"
2015-06-30,"PIMCO MF",0.00264550264550278,"Bloomberg"
2015-07-31,"PIMCO MF",-0.00395778364116095,"Bloomberg"
2015-08-31,"PIMCO MF",-0.014569536423841,"Bloomberg"
2015-09-30,"PIMCO MF",0.0336021505376345,"Bloomberg"
2015-10-30,"PIMCO MF",-0.0390117035110534,"Bloomberg"
2015-11-30,"PIMCO MF",0.00135317997293649,"Bloomberg"
2015-12-31,"PIMCO MF",-0.0256756756756757,"Bloomberg"
2016-01-29,"PIMCO MF",0.0332871012482663,"Bloomberg"
2016-02-29,"PIMCO MF",0.0644295302013422,"Bloomberg"
2016-03-31,"PIMCO MF",-0.0277427490542245,"Bloomberg"
2016-04-29,"PIMCO MF",-0.0129701686121919,"Bloomberg"
2016-05-31,"PIMCO MF",-0.0197109067017083,"Bloomberg"
2016-06-30,"PIMCO MF",0.0147453083109921,"Bloomberg"
2016-07-29,"PIMCO MF",0.0118890356671071,"Bloomberg"
2016-08-31,"PIMCO MF",-0.00261096605744127,"Bloomberg"
2016-09-30,"PIMCO MF",-0.0183246073298429,"Bloomberg"
2016-10-31,"PIMCO MF",-0.0173333333333333,"Bloomberg"
2016-11-30,"PIMCO MF",0,"Bloomberg"
2016-12-30,"PIMCO MF",0.010854816824966,"Bloomberg"
2017-01-31,"PIMCO MF",-0.014765100671141,"Bloomberg"
2017-02-28,"PIMCO MF",0.0095367847411445,"Bloomberg"
2017-03-31,"PIMCO MF",-0.00809716599190291,"Bloomberg"
2017-04-28,"PIMCO MF",0.00136054421768717,"Bloomberg"
2017-05-31,"PIMCO MF",0.00407608695652173,"Bloomberg"
2017-06-30,"PIMCO MF",-0.0243572395128552,"Bloomberg"
2017-07-31,"PIMCO MF",0.0249653259361997,"Bloomberg"
2017-08-31,"PIMCO MF",0.0175913396481733,"Bloomberg"
2017-09-29,"PIMCO MF",-0.0212765957446808,"Bloomberg"
2017-10-31,"PIMCO MF",0.0298913043478259,"Bloomberg"
2017-11-30,"PIMCO MF",0.00527704485488134,"Bloomberg"
2017-12-29,"PIMCO MF",0,"Bloomberg"
2018-01-31,"PIMCO MF",0.0341207349081365,"Bloomberg"
2018-02-28,"PIMCO MF",-0.0609137055837563,"Bloomberg"
2018-03-30,"PIMCO MF",0.0135135135135134,"Bloomberg"
2018-04-30,"PIMCO MF",-0.0106666666666667,"Bloomberg"
2018-05-31,"PIMCO MF",-0.00269541778975735,"Bloomberg"
2018-06-29,"PIMCO MF",0.0175675675675675,"Bloomberg"
2018-07-31,"PIMCO MF",-0.0106241699867198,"Bloomberg"
2018-08-31,"PIMCO MF",0.0174496644295301,"Bloomberg"
2018-09-28,"PIMCO MF",-0.0316622691292876,"Bloomberg"
2018-10-31,"PIMCO MF",0.0108991825613078,"Bloomberg"
2018-11-30,"PIMCO MF",0.00539083557951492,"Bloomberg"
2018-12-31,"PIMCO MF",0.0455764075067024,"Bloomberg"
2019-01-31,"PIMCO MF",-0.0384615384615384,"Bloomberg"
2019-02-28,"PIMCO MF",0.004,"Bloomberg"
2019-03-29,"PIMCO MF",0.0385126162018592,"Bloomberg"
2019-04-30,"PIMCO MF",0.0140664961636827,"Bloomberg"
2019-05-31,"PIMCO MF",-0.00504413619167721,"Bloomberg"
2019-06-28,"PIMCO MF",0.00380228136882121,"Bloomberg"
2019-07-31,"PIMCO MF",0.0227272727272727,"Bloomberg"
2019-08-30,"PIMCO MF",0.0308641975308641,"Bloomberg"
2019-09-30,"PIMCO MF",-0.0431137724550897,"Bloomberg"
2019-10-31,"PIMCO MF",-0.0125156445556946,"Bloomberg"
2019-11-29,"PIMCO MF",0.00126742712294048,"Bloomberg"
2019-12-31,"PIMCO MF",0.0164556962025315,"Bloomberg"
2020-01-31,"PIMCO MF",-0.0149439601494396,"Bloomberg"
2020-02-28,"PIMCO MF",0.0240202275600505,"Bloomberg"
2020-03-31,"PIMCO MF",0.0629629629629629,"Bloomberg"
2020-04-30,"PIMCO MF",-0.00929152148664347,"Bloomberg"
2020-05-29,"PIMCO MF",-0.00234466588511129,"Bloomberg"
2020-06-30,"PIMCO MF",-0.0293772032902467,"Bloomberg"
2020-07-31,"PIMCO MF",0.0314769975786924,"Bloomberg"
2020-08-31,"PIMCO MF",-0.0105633802816901,"Bloomberg"
2020-09-30,"PIMCO MF",-0.0284697508896797,"Bloomberg"
2020-10-30,"PIMCO MF",0.00244200244200266,"Bloomberg"
2020-11-30,"PIMCO MF",0.0170523751522531,"Bloomberg"
2020-12-31,"PIMCO MF",0.0479041916167666,"Bloomberg"
2021-01-29,"PIMCO MF",-0.00457142857142845,"Bloomberg"
2021-02-26,"PIMCO MF",0.0160734787600458,"Bloomberg"
2021-03-31,"PIMCO MF",0.0203389830508474,"Bloomberg"
2021-04-30,"PIMCO MF",0.0155038759689923,"Bloomberg"
2021-05-31,"PIMCO MF",0.0250817884405672,"Bloomberg"
2021-06-30,"PIMCO MF",0.00851063829787235,"Bloomberg"
2021-07-30,"PIMCO MF",0.0116033755274261,"Bloomberg"
2021-08-31,"PIMCO MF",0.0177267987486966,"Bloomberg"
2021-09-30,"PIMCO MF",0.0317622950819674,"Bloomberg"
2021-10-29,"PIMCO MF",0.0297914597815292,"Bloomberg"
2021-11-30,"PIMCO MF",-0.0482160077145612,"Bloomberg"
2021-12-31,"PIMCO MF",0.0182370820668694,"Bloomberg"
2022-01-31,"PIMCO MF",0.00398009950248746,"Bloomberg"
2022-02-28,"PIMCO MF",0.0297324083250745,"Bloomberg"
2022-03-31,"PIMCO MF",0.0567853705486043,"Bloomberg"
2022-04-29,"PIMCO MF",0.064663023679417,"Bloomberg"
2022-05-31,"PIMCO MF",-0.0119760479041915,"Bloomberg"
2022-06-30,"PIMCO MF",0.0432900432900434,"Bloomberg"
2022-07-29,"PIMCO MF",-0.0448132780082988,"Bloomberg"
2022-08-31,"PIMCO MF",0.00781928757602079,"Bloomberg"
2022-09-30,"PIMCO MF",0.0689655172413794,"Bloomberg"
2022-10-31,"PIMCO MF",-0.000806451612903158,"Bloomberg"
2022-11-30,"PIMCO MF",-0.089588377723971,"Bloomberg"
2022-12-30,"PIMCO MF",-0.00531914893617014,"Bloomberg"
2023-01-31,"PIMCO MF",0.00713012477718356,"Bloomberg"
