"date","name","value","source"
2000-05-01,"The Lynx Program",0.0346,"lynxhedge.se"
2000-06-01,"The Lynx Program",-0.0213,"lynxhedge.se"
2000-07-01,"The Lynx Program",0.01,"lynxhedge.se"
2000-08-01,"The Lynx Program",-0.0415,"lynxhedge.se"
2000-09-01,"The Lynx Program",-0.0118,"lynxhedge.se"
2000-10-01,"The Lynx Program",0.0324,"lynxhedge.se"
2000-11-01,"The Lynx Program",0.0583,"lynxhedge.se"
2000-12-01,"The Lynx Program",0.0769,"lynxhedge.se"
2001-01-01,"The Lynx Program",0.0221,"lynxhedge.se"
2001-02-01,"The Lynx Program",0.0276,"lynxhedge.se"
2001-03-01,"The Lynx Program",0.0714,"lynxhedge.se"
2001-04-01,"The Lynx Program",-0.0461,"lynxhedge.se"
2001-05-01,"The Lynx Program",-0.0049,"lynxhedge.se"
2001-06-01,"The Lynx Program",-0.0271,"lynxhedge.se"
2001-07-01,"The Lynx Program",0.0071,"lynxhedge.se"
2001-08-01,"The Lynx Program",0.0794,"lynxhedge.se"
2001-09-01,"The Lynx Program",0.0673,"lynxhedge.se"
2001-10-01,"The Lynx Program",0.0011,"lynxhedge.se"
2001-11-01,"The Lynx Program",-0.065,"lynxhedge.se"
2001-12-01,"The Lynx Program",0.0219,"lynxhedge.se"
2002-01-01,"The Lynx Program",0.0022,"lynxhedge.se"
2002-02-01,"The Lynx Program",-0.0749,"lynxhedge.se"
2002-03-01,"The Lynx Program",0.0252,"lynxhedge.se"
2002-04-01,"The Lynx Program",0.0139,"lynxhedge.se"
2002-05-01,"The Lynx Program",0.0542,"lynxhedge.se"
2002-06-01,"The Lynx Program",0.1053,"lynxhedge.se"
2002-07-01,"The Lynx Program",0.0503,"lynxhedge.se"
2002-08-01,"The Lynx Program",0.0125,"lynxhedge.se"
2002-09-01,"The Lynx Program",0.0311,"lynxhedge.se"
2002-10-01,"The Lynx Program",-0.0479,"lynxhedge.se"
2002-11-01,"The Lynx Program",-0.0308,"lynxhedge.se"
2002-12-01,"The Lynx Program",0.0447,"lynxhedge.se"
2003-01-01,"The Lynx Program",0.0278,"lynxhedge.se"
2003-02-01,"The Lynx Program",0.0377,"lynxhedge.se"
2003-03-01,"The Lynx Program",-0.0473,"lynxhedge.se"
2003-04-01,"The Lynx Program",0.0397,"lynxhedge.se"
2003-05-01,"The Lynx Program",0.103,"lynxhedge.se"
2003-06-01,"The Lynx Program",0.0304,"lynxhedge.se"
2003-07-01,"The Lynx Program",-0.055,"lynxhedge.se"
2003-08-01,"The Lynx Program",0.0023,"lynxhedge.se"
2003-09-01,"The Lynx Program",0.0628,"lynxhedge.se"
2003-10-01,"The Lynx Program",0.0413,"lynxhedge.se"
2003-11-01,"The Lynx Program",0.0098,"lynxhedge.se"
2003-12-01,"The Lynx Program",0.0353,"lynxhedge.se"
2004-01-01,"The Lynx Program",0.0097,"lynxhedge.se"
2004-02-01,"The Lynx Program",0.0459,"lynxhedge.se"
2004-03-01,"The Lynx Program",-0.0185,"lynxhedge.se"
2004-04-01,"The Lynx Program",-0.0221,"lynxhedge.se"
2004-05-01,"The Lynx Program",0.0056,"lynxhedge.se"
2004-06-01,"The Lynx Program",-0.0234,"lynxhedge.se"
2004-07-01,"The Lynx Program",-0.0334,"lynxhedge.se"
2004-08-01,"The Lynx Program",0.0197,"lynxhedge.se"
2004-09-01,"The Lynx Program",-0.0067,"lynxhedge.se"
2004-10-01,"The Lynx Program",0.0734,"lynxhedge.se"
2004-11-01,"The Lynx Program",0.0656,"lynxhedge.se"
2004-12-01,"The Lynx Program",0.0102,"lynxhedge.se"
2005-01-01,"The Lynx Program",-0.0393,"lynxhedge.se"
2005-02-01,"The Lynx Program",0.0307,"lynxhedge.se"
2005-03-01,"The Lynx Program",-0.0148,"lynxhedge.se"
2005-04-01,"The Lynx Program",-0.0216,"lynxhedge.se"
2005-05-01,"The Lynx Program",0.053,"lynxhedge.se"
2005-06-01,"The Lynx Program",0.0341,"lynxhedge.se"
2005-07-01,"The Lynx Program",-0.0101,"lynxhedge.se"
2005-08-01,"The Lynx Program",-0.0141,"lynxhedge.se"
