"date","name","value","source"
1997-01-01,"Winton Multi Strategy",NA,"winton presentation"
1997-02-01,"Winton Multi Strategy",NA,"winton presentation"
1997-03-01,"Winton Multi Strategy",NA,"winton presentation"
1997-04-01,"Winton Multi Strategy",NA,"winton presentation"
1997-05-01,"Winton Multi Strategy",NA,"winton presentation"
1997-06-01,"Winton Multi Strategy",NA,"winton presentation"
1997-07-01,"Winton Multi Strategy",NA,"winton presentation"
1997-08-01,"Winton Multi Strategy",NA,"winton presentation"
1997-09-01,"Winton Multi Strategy",NA,"winton presentation"
1997-10-01,"Winton Multi Strategy",-0.1297,"winton presentation"
1997-11-01,"Winton Multi Strategy",0.0996,"winton presentation"
1997-12-01,"Winton Multi Strategy",0.0814,"winton presentation"
1998-01-01,"Winton Multi Strategy",0.015,"winton presentation"
1998-02-01,"Winton Multi Strategy",0.0327,"winton presentation"
1998-03-01,"Winton Multi Strategy",0.0737,"winton presentation"
1998-04-01,"Winton Multi Strategy",-0.0163,"winton presentation"
1998-05-01,"Winton Multi Strategy",0.0853,"winton presentation"
1998-06-01,"Winton Multi Strategy",0.0298,"winton presentation"
1998-07-01,"Winton Multi Strategy",0.0151,"winton presentation"
1998-08-01,"Winton Multi Strategy",0.1099,"winton presentation"
1998-09-01,"Winton Multi Strategy",0.0451,"winton presentation"
1998-10-01,"Winton Multi Strategy",-0.057,"winton presentation"
1998-11-01,"Winton Multi Strategy",0.0115,"winton presentation"
1998-12-01,"Winton Multi Strategy",0.0951,"winton presentation"
1999-01-01,"Winton Multi Strategy",-0.0138,"winton presentation"
1999-02-01,"Winton Multi Strategy",0.0361,"winton presentation"
1999-03-01,"Winton Multi Strategy",-0.0399,"winton presentation"
1999-04-01,"Winton Multi Strategy",0.1051,"winton presentation"
1999-05-01,"Winton Multi Strategy",-0.0839,"winton presentation"
1999-06-01,"Winton Multi Strategy",0.0529,"winton presentation"
1999-07-01,"Winton Multi Strategy",-0.0201,"winton presentation"
1999-08-01,"Winton Multi Strategy",-0.0347,"winton presentation"
1999-09-01,"Winton Multi Strategy",-0.0017,"winton presentation"
1999-10-01,"Winton Multi Strategy",-0.062,"winton presentation"
1999-11-01,"Winton Multi Strategy",0.1393,"winton presentation"
1999-12-01,"Winton Multi Strategy",0.0904,"winton presentation"
2000-01-01,"Winton Multi Strategy",-0.0396,"winton presentation"
2000-02-01,"Winton Multi Strategy",0.0172,"winton presentation"
2000-03-01,"Winton Multi Strategy",-0.0328,"winton presentation"
2000-04-01,"Winton Multi Strategy",0.0205,"winton presentation"
2000-05-01,"Winton Multi Strategy",-0.0026,"winton presentation"
2000-06-01,"Winton Multi Strategy",-0.0127,"winton presentation"
2000-07-01,"Winton Multi Strategy",-0.0458,"winton presentation"
2000-08-01,"Winton Multi Strategy",0.0323,"winton presentation"
2000-09-01,"Winton Multi Strategy",-0.0776,"winton presentation"
2000-10-01,"Winton Multi Strategy",0.0209,"winton presentation"
2000-11-01,"Winton Multi Strategy",0.0733,"winton presentation"
2000-12-01,"Winton Multi Strategy",0.1681,"winton presentation"
2001-01-01,"Winton Multi Strategy",0.0438,"winton presentation"
2001-02-01,"Winton Multi Strategy",0.0056,"winton presentation"
2001-03-01,"Winton Multi Strategy",0.0709,"winton presentation"
2001-04-01,"Winton Multi Strategy",-0.0531,"winton presentation"
2001-05-01,"Winton Multi Strategy",-0.026,"winton presentation"
2001-06-01,"Winton Multi Strategy",-0.0266,"winton presentation"
2001-07-01,"Winton Multi Strategy",0.0066,"winton presentation"
