"Year","Month","Return","Assets"
"2014","4","-0.23","1500000"
"2014","5","1.63","1500000"
"2014","6","1.26","1500000"
"2014","7","-3.79","1000000"
"2014","8","4.9","1000000"
"2014","9","8.27","1100000"
"2014","10","8.99","1200000"
"2014","11","13.59","1400000"
"2014","12","8.69","1500000"
"2015","1","15.17","11700000"
"2015","2","-1.24","14200000"
"2015","3","4.02","27200000"
"2015","4","-4.91","30600000"
"2015","5","1.21","30700000"
"2015","6","-5.79","30000000"
"2015","7","5.8","30700000"
"2015","8","-0.93","30600000"
"2015","9","3.85","31000000"
"2015","10","-4.24","29000000"
"2015","11","1.87","29200000"
"2015","12","-1.01","29100000"
"2016","1","8.33","135900000"
"2016","2","2.66","139200000"
"2016","3","-5.85","172000000"
"2016","4","-5.16","194900000"
"2016","5","0.32","196300000"
"2016","6","6.22","211500000"
"2016","7","1.67","295700000"
"2016","8","-4.26","293200000"
"2016","9","-0.08","304700000"
"2016","10","-5.44","297900000"
"2016","11","-6.4","277400000"
"2016","12","1.22","280700000"
"2017","1","-3.01","267400000"
"2017","2","4.86","275800000"
"2017","3","-1.53","283600000"
"2017","4","-3.06","496100000"
"2017","5","-0.82","505000000"
"2017","6","-2.99","550600000"
"2017","7","3.11","606900000"
"2017","8","1.91","609200000"
"2017","9","-1.62","656900000"
"2017","10","5.83","651600000"
"2017","11","2.3","715200000"
"2017","12","2.86","783500000"
"2018","1","8.86","862000000"
"2018","2","-10.68","807400000"
"2018","3","-0.3","830000000"
"2018","4","0.54","832900000"
"2018","5","-7.31","838100000"
"2018","6","-0.23","806500000"
"2018","7","-1.5","826300000"
"2018","8","2.98","801900000"
"2018","9","-1.07","816900000"
"2018","10","-3.95","789700000"
"2018","11","-2.15","773300000"
"2018","12","1.28","779300000"
"2019","1","-6.81","781200000"
"2019","2","0.36","742600000"
"2019","3","6.22","710800000"
"2019","4","1.21","730800000"
"2019","5","3.6","722500000"
"2019","6","-0.03","727600000"
"2019","7","5.03","728200000"
"2019","8","8.62","764300000"
"2019","9","-4.94","780000000"
"2019","10","-5.79","721300000"
"2019","11","0.99","713400000"
"2019","12","-3.69","719300000"
"2020","1","5.41","730900000"
"2020","2","4.36","786000000"
"2020","3","7.71","796300000"
"2020","4","-0.25","812000000"
"2020","5","-4.42","780500000"
"2020","6","-2.21","777300000"
"2020","7","2.4","788700000"
"2020","8","-0.96","812300000"
"2020","9","-2.45","842700000"
"2020","10","-0.4","835100000"
"2020","11","4.88","849000000"
"2020","12","8.24","923400000"
"2021","1","-0.67","1008200000"
"2021","2","3.51","1043100000"
"2021","3","0.51","1058800000"
"2021","4","3.18","1072000000"
"2021","5","2.81","1132600000"
"2021","6","-4.42","1136900000"
"2021","7","-3.15","1140000000"
"2021","8","-0.74","1122700000"
"2021","9","-1.8","1147800000"
"2021","10","8.15","1198800000"
"2021","11","-7.99","1256400000"
"2021","12","1.52","1218000000"
"2022","1","2.57","1317600000"
"2022","2","3.18","1351500000"
"2022","3","8.61","1473000000"
"2022","4","6.07","1574500000"
"2022","5","-0.53","1583400000"
"2022","6","4.12","1598000000"
"2022","7","-4.81","1605000000"
"2022","8","5.99","1631100000"
"2022","9","8.38","1703000000"
"2022","10","-1.97","1694800000"
"2022","11","-7.86","1617200000"
"2022","12","-0.6","1543900000"
"2023","1","-2.59","1524700000"
