"date","name","value","source"
1926-07-30,"US Stock Selection Value",-0.0198557509772,"aqr factors"
1926-07-30,"US Stock Selection Multi-style",-0.0198557509772,"aqr factors"
1926-07-30,"Equity indices Value",0.0185039522771,"aqr factors"
1926-07-30,"Equity indices Momentum",-0.014570350625,"aqr factors"
1926-07-30,"Equity indices Carry",-0.0546315687146,"aqr factors"
1926-07-30,"Equity indices Defensive",0.128464447503,"aqr factors"
1926-07-30,"Equity indices Multi-style",0.0194416201102,"aqr factors"
1926-07-30,"Fixed income Value",0.00757675220066,"aqr factors"
1926-07-30,"Fixed income Momentum",0.023083645792,"aqr factors"
1926-07-30,"Fixed income Carry",0.00964746585,"aqr factors"
1926-07-30,"Fixed income Defensive",-0.039519907308,"aqr factors"
1926-07-30,"Fixed income Multi-style",0.000196989133661,"aqr factors"
1926-07-30,"Commodities Value",0.104659355707,"aqr factors"
1926-07-30,"Commodities Momentum",-0.134934958201,"aqr factors"
1926-07-30,"Commodities Carry",-0.0726525052934,"aqr factors"
1926-07-30,"Commodities Multi-style",-0.0343093692624,"aqr factors"
1926-07-30,"All Stock Selection Value",-0.0198557509772,"aqr factors"
1926-07-30,"All Stock Selection Multi-style",-0.0198557509772,"aqr factors"
1926-07-30,"All Macro Value",0.0250679505171,"aqr factors"
1926-07-30,"All Macro Momentum",-0.0164245117441,"aqr factors"
1926-07-30,"All Macro Carry",-0.0132520877554,"aqr factors"
1926-07-30,"All Macro Defensive",-0.0160987412401,"aqr factors"
1926-07-30,"All Macro Multi-style",-0.00841573164447,"aqr factors"
1926-07-30,"All asset classes Value",0.0162632469362,"aqr factors"
1926-07-30,"All asset classes Momentum",-0.0164245117441,"aqr factors"
1926-07-30,"All asset classes Carry",-0.0132520877554,"aqr factors"
1926-07-30,"All asset classes Defensive",-0.0160987412401,"aqr factors"
1926-07-30,"All asset classes Multi-style",-0.00975107536095,"aqr factors"
1926-07-30,"Equity indices Market",0.0428909947796,"aqr factors"
1926-07-30,"Fixed income Market",0.00289481534138,"aqr factors"
1926-07-30,"Commodities Market",0.0868364102092,"aqr factors"
1926-07-30,"All Macro Market",0.0157048542569,"aqr factors"
1926-08-31,"US Stock Selection Value",0.0523514868609,"aqr factors"
1926-08-31,"US Stock Selection Multi-style",0.0523514868609,"aqr factors"
1926-08-31,"Equity indices Value",0.0287210973094,"aqr factors"
1926-08-31,"Equity indices Momentum",-0.00131777274021,"aqr factors"
1926-08-31,"Equity indices Carry",-0.00550315553416,"aqr factors"
1926-08-31,"Equity indices Defensive",0.000734436206775,"aqr factors"
